label	drawings	engraving	iconography	painting	sculpture	total
Squash	0	0	0	0	1	1
Outerwear	8	1	5	20	10	44
Tradition	2	1	3	3	1	10
Money	0	0	11	0	0	11
oxcart	0	1	0	0	0	1
Petal	4	0	0	0	1	5
Black rhinoceros	0	1	0	0	3	4
Fashion accessory	1	1	16	16	8	42
Vintage clothing	7	5	0	3	0	15
Finger	0	1	3	1	14	19
Tower block	0	0	0	0	3	3
Performance	0	0	0	3	13	16
Violin family	0	0	0	2	1	3
Wildlife	14	7	1	6	31	59
Siberian tiger	0	1	0	0	0	1
Triumphal arch	4	3	0	0	0	7
Sword	1	0	0	0	0	1
Whooping crane	0	1	0	0	0	1
Bicycle wheel	0	0	0	0	1	1
Stencil	1	0	0	0	0	1
Forehead	90	10	49	20	86	255
Fiction	24	7	1	0	0	32
Brown	1	0	16	1	0	18
Promontory	0	0	0	3	0	3
Plastic	0	0	0	0	2	2
Rein	19	3	0	12	5	39
Paint	17	1	3	9	0	30
Raft	1	0	0	0	0	1
Parrot	1	0	0	0	0	1
Art paper	0	0	0	1	0	1
Garden	0	0	0	0	99	99
Sousaphone	0	0	0	0	1	1
Harbor	1	0	0	11	0	12
High heels	0	0	0	0	1	1
Farm	1	0	0	2	0	3
Reflection	3	2	0	3	8	16
Bag	0	1	0	0	0	1
Thoroughfare	4	0	0	0	0	4
Baby	0	0	0	4	0	4
Rebellion	2	1	0	4	0	7
Handwriting	2	0	0	0	0	2
Antique	9	12	511	83	8	623
Wallet	0	0	10	0	0	10
Outer space	0	0	0	0	1	1
Bridle	16	3	0	11	4	34
Mineral	0	0	0	0	3	3
Gentleman	30	5	3	263	0	301
Fire	0	0	0	0	1	1
Dust	0	0	0	2	0	2
Sculptor	0	0	0	0	208	208
Dress	6	1	0	119	7	133
Pattern	20	8	13	12	1	54
Serving tray	0	0	1	0	0	1
Trapeze	0	0	0	0	1	1
Steeple	3	3	0	0	0	6
Tree stump	1	0	0	0	1	2
Head	83	13	48	4	115	263
Laugh	0	0	0	0	1	1
Animation	3	0	1	4	13	21
Star	1	0	0	0	3	4
Zebra	0	0	0	0	1	1
Frock coat	0	0	0	1	0	1
Reptile	1	1	0	0	0	2
Butternut squash	0	0	0	0	1	1
Field	0	0	0	3	0	3
Prairie	0	0	0	5	0	5
Trumpeter	1	0	0	0	2	3
Ball	0	0	0	0	2	2
Autograph	2	0	0	0	0	2
Sport venue	1	0	0	0	1	2
Double bass	0	0	0	1	1	2
Unicorn	0	0	0	0	1	1
White-collar worker	1	0	0	0	0	1
Basketball	0	0	0	0	1	1
Tree house	1	0	0	0	0	1
Chainsaw carving	0	0	0	0	33	33
Stream	0	1	0	2	0	3
Flute	0	0	0	1	0	1
Team sport	1	0	0	1	1	3
Aircraft	1	0	0	1	1	3
Norwegian forest cat	1	0	0	0	0	1
Agave azul	0	0	0	0	1	1
Metropolis	2	0	0	0	3	5
Wallpaper	1	0	0	0	0	1
Black	0	3	0	4	4	11
Stairs	0	0	0	0	1	1
Snapshot	4	6	0	0	1	11
